uf;br;municipio;mes;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
PR;116;CURITIBA;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Múltipla;Reta;Sim;false
RJ;40;DUQUE DE CAXIAS;10;quinta-feira;Plena Noite;Ingestão de álcool pelo condutor;Colisão com objeto;Céu Claro;Múltipla;Curva;Sim;true
PE;407;PETROLINA;8;segunda-feira;Plena Noite;Condutor deixou de manter distância do veículo da frente;Tombamento;Ignorado;Simples;"Reta;Ponte";Não;false
RJ;493;ITAGUAI;10;quinta-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Dupla;Curva;Não;false
MG;365;UBERLANDIA;10;quinta-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Céu Claro;Simples;Interseção de Vias;Sim;false
CE;116;AQUIRAZ;10;quinta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Sol;Dupla;Curva;Não;false
SC;101;BALNEARIO CAMBORIU;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Queda de ocupante de veículo;Céu Claro;Dupla;Reta;Sim;false
PR;376;SARANDI;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Múltipla;Reta;Sim;false
PR;277;CAMPO LARGO;8;domingo;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Não;false
SC;282;FLORIANOPOLIS;10;quinta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Múltipla;Reta;Sim;false
PR;376;SARANDI;10;quinta-feira;Pleno dia;Velocidade Incompatível;Colisão traseira;Sol;Dupla;Reta;Sim;false
CE;116;MILAGRES;10;quinta-feira;Amanhecer;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Simples;Reta;Não;false
RJ;101;ANGRA DOS REIS;10;quinta-feira;Pleno dia;Mal súbito do condutor;Queda de ocupante de veículo;Céu Claro;Simples;Curva;Sim;true
MG;381;BETIM;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão com objeto;Céu Claro;Dupla;"Aclive;Curva";Não;false
RJ;101;CAMPOS DOS GOYTACAZES;9;segunda-feira;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Chuva;Simples;"Declive;Reta";Não;true
PE;101;GOIANA;10;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim;false
SC;280;GUARAMIRIM;10;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão transversal;Céu Claro;Dupla;Reta;Sim;false
SP;116;SAO PAULO;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Sol;Múltipla;"Aclive;Curva";Sim;false
PR;277;MEDIANEIRA;9;domingo;Pleno dia;Animais na Pista;Colisão traseira;Céu Claro;Dupla;Reta;Sim;false
BA;324;SAO SEBASTIAO DO PASSE;10;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Múltipla;Reta;Não;false
ES;101;LINHARES;10;quinta-feira;Pleno dia;Transitar no Acostamento;Colisão transversal;Nublado;Simples;Interseção de Vias;Não;false
SP;101;UBATUBA;10;quinta-feira;Pleno dia;Entrada inopinada do pedestre;Atropelamento de Pedestre;Nublado;Simples;Reta;Sim;false
ES;259;BAIXO GUANDU;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Sol;Simples;Reta;Não;false
SE;101;JAPARATUBA;10;quinta-feira;Pleno dia;Sinalização mal posicionada;Saída de leito carroçável;Sol;Simples;"Reta;Desvio Temporário";Não;true
AL;101;SAO SEBASTIAO;10;quinta-feira;Pleno dia;Transitar na contramão;Colisão frontal;Céu Claro;Dupla;Reta;Não;false
SP;116;JACAREI;10;quinta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim;false
MT;163;GUARANTA DO NORTE;10;quinta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Sim;false
MG;116;MURIAE;10;quinta-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Sol;Simples;Interseção de Vias;Sim;false
PE;101;JABOATAO DOS GUARARAPES;8;domingo;Pleno dia;Transitar na contramão;Colisão frontal;Céu Claro;Dupla;Reta;Não;false
MG;262;MANHUACU;10;quinta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Sim;false
MA;402;PRIMEIRA CRUZ;10;quinta-feira;Pleno dia;Velocidade Incompatível;Colisão frontal;Céu Claro;Simples;Curva;Não;true
PR;369;ANDIRA;10;quinta-feira;Pleno dia;Transitar no Acostamento;Colisão traseira;Sol;Simples;Reta;Sim;false
RN;304;SAO PEDRO;7;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não;false
PE;101;RECIFE;10;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sol;Múltipla;Reta;Sim;false
MG;262;ARAXA;10;quinta-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Sol;Simples;Reta;Não;false
MG;153;ARAPORA;9;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Ignorado;Múltipla;"Interseção de Vias;Reta";Sim;false
MS;163;CAMPO GRANDE;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Reta;Sim;false
MS;163;CAMPO GRANDE;10;quinta-feira;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Céu Claro;Simples;Reta;Não;false
GO;60;SANTO ANTONIO DA BARRA;10;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Capotamento;Céu Claro;Dupla;Reta;Não;false
PI;343;PIRACURUCA;10;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão transversal;Céu Claro;Simples;Reta;Não;false
MS;163;DOURADOS;7;quarta-feira;Pleno dia;Acesso irregular;Colisão transversal;Céu Claro;Simples;Reta;Não;false
RJ;101;ANGRA DOS REIS;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;"Declive;Reta";Não;false
MG;116;FERVEDOURO;10;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não;false
SC;480;CHAPECO;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Garoa/Chuvisco;Simples;Interseção de Vias;Não;false
PB;0;SANTA LUZIA;8;quarta-feira;Pleno dia;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Simples;Reta;Sim;false
SC;101;ITAPEMA;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Nublado;Dupla;Reta;Sim;false
GO;60;ANAPOLIS;10;quinta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral sentido oposto;Céu Claro;Dupla;Reta;Sim;false
